ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
105;Buyuk Macera: Hazine Pesinde;6.162;11.600;506037;916805;5,5;4;April;80;176
106;Oregon;3.817;7.323;324685;599894;4,6;4;April;95;156
107;Karanlık Gece;4.764;16.977;429320;1392967;6,9;17;April;115;75
108;The Roundup;1.321;2.621;132164;247594;7;2;April;94;67
109;Guardians of the Galaxy Vol. 3;98.363;304.423;9681570;27912668;7,9;10;May;149;318
110;The Pope's Exorcist;16.017;49.351;1401542;3954163;6,1;8;May;103;237
111;Ella Bella Bingo;7.318;13.617;669834;1135943;4,9;6;May;75;188
112;Askın Saati 19:03;7.592;14.462;664270;1170679;4;3;May;98;146
113;Beautiful Disaster;5.318;11.021;523146;1005934;5,3;6;May;95;110
114;The Kindred;1.678;3.007;140374;237450;4,7;2;May;90;90
115;My Crime;677;2.794;52060;196672;6,5;10;May;102;19
116;A Mystery on the Cattle Hill Express;1.789;8.673;167115;658857;5;7;May;70;171
117;Blood;3.641;8.715;344574;744768;5,5;4;May;108;136
118;Marerittet, Nightmare;2.738;11.491;226895;910932;5;8;May;100;130
119;Sırrı Cin;2.070;4.362;175824;340316;4;2;May;83;119
120;Gekijouban Sword Art Online the Movie: Progressive - Kuraki Yuuyami no Scherzo;800;1.738;77894;155931;6,7;2;May;101;85
121;Belle et Sébastien: Nouvelle génération;839;1.966;68982;143427;5,8;4;May;96;79
122;Koku;820;3.640;64028;247881;5,7;17;May;97;61
123;The Innocent;294;1.446;22084;98924;6,7;6;May;99;18
124;Fast X;592.868;1.577.519;53322833;137029377;5,7;13;May;140;351
125;Helt super, Just Super;18.172;40.119;1653574;3195772;5,2;8;May;76;223
126;Araf 6: Olum;7.012;12.646;564204;951603;1,9;3;May;80;171
127;Cılgın Yarıscılar;2.672;3.894;239556;318242;3,8;5;May;96;119
128;Askın Bununla Ne Ilgisi Var?;967;2.184;104853;234067;6,3;5;May;109;41
129;Bir Umut;173;584;12989;38621;5,5;9;May;92;33
130;The Little Mermaid;13.909;57.310;1316226;5184341;7,2;8;May;134;226
131;Conjuring: The Beyond;4.951;12.155;473045;1054014;2,3;3;May;91;140
132;Cin Hikayeleri Kayıp Bebek;2.648;5.683;216766;432449;4,5;4;May;77;123
133;Isaretliler: Kurban;1.096;2.712;83559;180094;7,2;3;May;102;73
134;Suzume no tojimari;4.600;15.555;460419;1456798;7,6;9;May;122;70
135;War Pony;397;1.680;30434;117542;6,8;6;May;115;37
136;Spider-Man: Across the Spider-Verse;103.621;566.383;10261895;52425362;8,6;28;June;140;307
137;Prestij Meselesi;72.979;100.506;5765052;7987897;6,1;8;June;121;242
138;Hypnotic;12.155;29.902;1199891;2876621;5,5;5;June;92;180
139;About My Father;3.398;6.090;359343;616625;5,7;3;June;90;142
140;The Boogeyman;8.073;23.174;792688;2060423;5,9;4;June;99;111
141;Daliland;826;3.091;87646;312721;5,9;11;June;104;26
142;Tori and Lokita;311;1.278;25881;81509;7,1;6;June;89;20
143;Transformers: Rise of the Beasts;88.966;322.916;8391440;28152213;6;11;June;127;336
144;Around the World in 80 Days;10.214;29.108;888728;2257093;4,7;5;June;82;195
145;Mia and Me: The Hero of Centopia;7.191;15.728;647025;1285219;6;6;June;85;186
146;Iblis Karanlıgın Sahibi 2;6.083;13.383;544342;1086009;4,2;4;June;84;122
147;Maske: Nezaketle Tebessum;973;27.439;98726;1222998;7,2;4;June;105;49
148;Beau is Afraid;1.312;3.481;143223;342237;6,7;7;June;179;45
149;Saint Omer;407;1.828;34878;139400;6,8;9;June;123;32
150;The Flash;56.542;181.381;5721951;17236449;6,6;7;June;144;310
151;Elemental;49.860;321.243;4628845;28936529;7;25;June;101;277
152;Benim Babam Bir Kahraman;3.782;6.364;333627;531616;5,3;2;June;96;146
153;Huddam 3: Lamia;12.670;33.763;1091862;2742862;5,6;14;June;98;136
154;Obsesyon;1.264;2.331;122050;211803;7,2;2;June;92;73
