ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
346;Wonka;62.532;225.760;8944211;31431126;7;22;December;116;210
347;Hayat;19.613;83.813;2643945;10942327;7,2;32;December;193;135
348;The Elephant King;4.747;6.862;556456;757710;4,7;4;December;77;102
349;Cats in the Museum;7.643;12.767;1010410;1528934;4,7;8;December;83;85
350;Demon Slayer: Kimetsu No Yaiba - Orchestra Concert - Mugen Train Arc;108;165;15140;22455;7,9;1;December;114;27
351;Simitci;138;246;17445;28670;5,2;1;December;96;21
352;Aquaman and the Lost Kingdom;68.907;218.884;9902176;30088021;5,6;10;December;124;305
353;Cenazemize HosGeldiniz;8.545;14.586;1094836;1736369;5,5;3;December;111;183
354;Sag Salim 3: Olü ya da Diri;16.004;32.847;1914978;3711358;3,9;4;December;102;175
355;Orman Cetesi: Dünya Turu;13.756;32.803;1806608;3553476;5,6;24;December;89;142
356;Kadınlara Mahsus;4.902;10.411;696528;1339546;7,9;3;December;105;132
357;Ferrari;3.886;7.838;693090;1319410;6,4;3;December;130;57
358;Aniden;606;3.339;74412;367702;6,2;9;December;115;35
359;Dejar: Cin Vahseti;461;963;43142;80788;NA;4;December;85;29
360;Demon Slayer: Kimetsu no Yaiba on Stage Mugen Train Arc;13;31;2270;4440;NA;1;December;116;3
361;Rafadan Tayfa 4: Hayrimator;254.935;2.814.961;29226977;306749007;5,4;43;December;91;355
362;Mutluyuz;73.074;450.751;9632624;55929287;4,4;19;December;95;282
363;İcimdeki Seytan;3.338;7.261;422426;874687;5,2;4;December;99;101
364;Bed Rest;3.550;8.147;481904;1056886;5,1;2;December;90;90
365;Dogman;1.575;4.099;250020;612425;6,8;2;December;113;74
366;May December;1.620;7.980;269475;1243145;6,8;12;December;117;30
367;Love Actually;53.617;270.731;432682;1939390;7,6;27;December;135;10
